hostname	publicSuffix	source	line
aomori.jp	aomori.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074148
ap.gov.br	ap.gov.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074392
ap.gov.pl	ap.gov.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074394
ap.it	ap.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074396
api.gov.uk	api.gov.uk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1075176
apigee.io	apigee.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	1075378
app.br	app.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1076723
appchizi.com	appchizi.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1076972
applinzi.com	applinzi.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1077697
apps-1and1.com	apps-1and1.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078064
apps-1and1.net	apps-1and1.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078065
appspaceusercontent.com	appspaceusercontent.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078282
appspot.com	appspot.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078292
aq.it	aq.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079134
aquila.it	aquila.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079474
ar.it	ar.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079579
ar.us	ar.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079582
arezzo.it	arezzo.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1081431
arkhangelsk.su	arkhangelsk.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082132
armenia.su	armenia.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082432
arq.br	arq.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082902
art.br	art.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1083318
art.pl	art.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1083324
ashgabad.su	ashgabad.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1085745
asn.au	asn.au	C:\Users\PC\Downloads\top100110millionurls\01.txt	1086836
asso.fr	asso.fr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1087692
asti.it	asti.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1088040
at-band-camp.net	at-band-camp.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1088701
at.it	at.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1088741
ath.cx	ath.cx	C:\Users\PC\Downloads\top100110millionurls\01.txt	1089262
atmeta.com	atmeta.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1090178
augustow.pl	augustow.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1092191
authgear-staging.com	authgear-staging.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1093173
authgearapps.com	authgearapps.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1093174
auto.pl	auto.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1093381
av.it	av.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1095045
av.tr	av.tr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1095051
avocat.fr	avocat.fr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1096589
awsapps.com	awsapps.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1097734
awsglobalaccelerator.com	awsglobalaccelerator.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1098017
az.us	az.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	1099131
azerbaijan.su	azerbaijan.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1099529
azure-api.net	azure-api.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101682
azure-api.us	azure-api.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101683
azure-mobile.net	azure-mobile.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101704
azureedge.net	azureedge.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101733
azurefd.net	azurefd.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101735
azurestaticapps.net	azurestaticapps.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101765
azurewebsites.net	azurewebsites.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101771
azurewebsites.us	azurewebsites.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101772
b.br	b.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101989
ba.gov.br	ba.gov.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1102608
ba.it	ba.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1102609
babia-gora.pl	babia-gora.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1102869
babyblue.jp	babyblue.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1103016
babymilk.jp	babymilk.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1103134
backdrop.jp	backdrop.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1103400
balashov.su	balashov.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1105244
balena-devices.com	balena-devices.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1105328
bari.it	bari.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108148
barsy.bg	barsy.bg	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108523
barsy.in	barsy.in	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108524
barsy.menu	barsy.menu	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108525
barsy.net	barsy.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108526
barsy.online	barsy.online	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108527
barsy.shop	barsy.shop	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108528
barsy.support	barsy.support	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108529
barsyonline.co.uk	barsyonline.co.uk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108530
barsyonline.com	barsyonline.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108531
base.ec	base.ec	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108715
base.shop	base.shop	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108720
bashkiria.ru	bashkiria.ru	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108939
bashkiria.su	bashkiria.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108940
basicserver.io	basicserver.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	1108990
basilicata.it	basilicata.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1109011
bbs.tr	bbs.tr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1110911
bc.ca	bc.ca	C:\Users\PC\Downloads\top100110millionurls\01.txt	1111187
bearblog.dev	bearblog.dev	C:\Users\PC\Downloads\top100110millionurls\01.txt	1112667
bedzin.pl	bedzin.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1113625
beep.pl	beep.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1113921
bel.tr	bel.tr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1114621
belem.br	belem.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1114725
belluno.it	belluno.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1115191
bergamo.it	bergamo.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1116388
beskidy.pl	beskidy.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1116976
better-than.tv	better-than.tv	C:\Users\PC\Downloads\top100110millionurls\01.txt	1120505
bg.it	bg.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122018
bhz.br	bhz.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122668
bi.it	bi.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122692
bialowieza.pl	bialowieza.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122740
bialystok.pl	bialystok.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1122742
bielawa.pl	bielawa.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123481
biella.it	biella.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123487
bielsko.pl	bielsko.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123489
bieszczady.pl	bieszczady.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1123553
bio.br	bio.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1126260
bir.ru	bir.ru	C:\Users\PC\Downloads\top100110millionurls\01.txt	1126916
bitbucket.io	bitbucket.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	1127653
bitter.jp	bitter.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128596
biz.id	biz.id	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128885
biz.in	biz.in	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128886
biz.my	biz.my	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128888
biz.pl	biz.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128892
biz.tr	biz.tr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128896
biz.ua	biz.ua	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128897
biz.vn	biz.vn	C:\Users\PC\Downloads\top100110millionurls\01.txt	1128899
bj.cn	bj.cn	C:\Users\PC\Downloads\top100110millionurls\01.txt	1129294
bl.it	bl.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1130019
blackbaudcdn.net	blackbaudcdn.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1130154
blog.br	blog.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132082
blogdns.com	blogdns.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1132194
