hostname	testedAt	dnsStatus	ipv4	ipv6	dnsError	httpClassification	httpStatus	httpRedirectCount	httpRedirectChain	httpFinalUrl	httpFinalHostname	httpContentType	httpServer	httpChallengeSuspected	httpError	httpsClassification	httpsStatus	httpsRedirectCount	httpsRedirectChain	httpsFinalUrl	httpsFinalHostname	httpsContentType	httpsServer	httpsChallengeSuspected	httpsError	combinedClassification	suggestedAction
diskstation.me	2026-07-21T16:51:33.3678137+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://diskstation.me/	diskstation.me			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://diskstation.me/	diskstation.me			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dix.asia	2026-07-21T16:51:34.5752525+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dix.asia/	dix.asia			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dix.asia/	dix.asia			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dkonto.pl	2026-07-21T16:51:36.0783529+00:00	resolved	195.88.51.13			timeout	0	0		http://dkonto.pl/	dkonto.pl			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dkonto.pl/	dkonto.pl			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
dlugoleka.pl	2026-07-21T16:52:17.1643738+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dlugoleka.pl/	dlugoleka.pl			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dlugoleka.pl/	dlugoleka.pl			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dn.ua	2026-07-21T16:52:18.2079489+00:00	resolved	185.12.115.200	2a02:f080:12:115::200		timeout	0	0		http://dn.ua/	dn.ua			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dn.ua/	dn.ua			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
dni.us	2026-07-21T16:52:59.2848453+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dni.us/	dni.us			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dni.us/	dni.us			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dnsabr.com	2026-07-21T16:53:00.3460197+00:00	resolved	51.195.195.241			request-failure	301	1	https://www.dnsabr.com/	http://dnsabr.com/	dnsabr.com		nginx	False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dnsabr.com/	dnsabr.com			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	dns-only	retest-or-review-exact-host
dnsup.net	2026-07-21T16:53:02.2121886+00:00	resolved	158.69.201.22			timeout	0	0		http://dnsup.net/	dnsup.net			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dnsup.net/	dnsup.net			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
dojin.com	2026-07-21T16:53:43.4482470+00:00	resolved	210.155.3.54			timeout	0	0		http://dojin.com/	dojin.com			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dojin.com/	dojin.com			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
dpdns.org	2026-07-21T16:54:24.7646373+00:00	resolved	142.171.123.133			timeout	0	0		http://dpdns.org/	dpdns.org			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dpdns.org/	dpdns.org			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
dr.in	2026-07-21T16:55:06.0385559+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dr.in/	dr.in			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dr.in/	dr.in			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dr.tr	2026-07-21T16:55:07.0864673+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dr.tr/	dr.tr			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dr.tr/	dr.tr			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
drammen.no	2026-07-21T16:55:08.1491544+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://drammen.no/	drammen.no			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://drammen.no/	drammen.no			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dreamhosters.com	2026-07-21T16:55:09.2115556+00:00	resolved	66.33.206.96			timeout	0	0		http://dreamhosters.com/	dreamhosters.com			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dreamhosters.com/	dreamhosters.com			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
