"hostname"	"firstClassification"	"secondClassification"	"firstDnsStatus"	"secondDnsStatus"	"firstHttpStatus"	"firstHttpsStatus"	"secondHttpStatus"	"secondHttpsStatus"	"firstFinalHostname"	"secondFinalHostname"	"decision"
"tv.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tv.br"	"tv.br"	"repeatedly-not-resolved"
"tv.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tv.in"	"tv.in"	"repeatedly-not-resolved"
"tv.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tv.it"	"tv.it"	"repeatedly-not-resolved"
"tv.tr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tv.tr"	"tv.tr"	"repeatedly-not-resolved"
"tw.cn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tw.cn"	"tw.cn"	"repeatedly-not-resolved"
"tx.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tx.us"	"tx.us"	"repeatedly-not-resolved"
"tychy.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tychy.pl"	"tychy.pl"	"repeatedly-not-resolved"
"typo3server.info"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"typo3server.info"	"typo3server.info"	"inconclusive"
"ud.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ud.it"	"ud.it"	"repeatedly-not-resolved"
"udi.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"udi.br"	"udi.br"	"repeatedly-not-resolved"
"udine.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"udine.it"	"udine.it"	"repeatedly-not-resolved"
"ug.gov.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ug.gov.pl"	"ug.gov.pl"	"repeatedly-not-resolved"
"uh-oh.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"uh-oh.jp"	"uh-oh.jp"	"repeatedly-not-resolved"
"uk.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"uk.in"	"uk.in"	"repeatedly-not-resolved"
"ulsan.kr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ulsan.kr"	"ulsan.kr"	"repeatedly-not-resolved"
"um.gov.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"um.gov.pl"	"um.gov.pl"	"repeatedly-not-resolved"
"umbria.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"umbria.it"	"umbria.it"	"repeatedly-not-resolved"
"undo.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"undo.jp"	"undo.jp"	"repeatedly-not-resolved"
"unison-services.cloud"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"unison-services.cloud"	"unison-services.cloud"	"repeatedly-not-resolved"
"up.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"up.in"	"up.in"	"repeatedly-not-resolved"
"uri.arpa"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"uri.arpa"	"uri.arpa"	"repeatedly-not-resolved"
"urn.arpa"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"urn.arpa"	"urn.arpa"	"repeatedly-not-resolved"
